Item,Provinsi,Tahun,Produksi,Curah hujan,Kelembapan,Suhu rata-rata,Luas Panen
Jagung,Aceh,1993,38924.00,1627.00,82.00,26.06,17941.00
Jagung,Aceh,1994,28578.00,1521.00,82.12,26.92,13105.00
Jagung,Aceh,1995,44921.00,1476.00,82.72,26.27,20639.00
Jagung,Aceh,1996,45566.00,1557.00,83.00,26.08,19677.00
Jagung,Aceh,1997,58679.00,1339.00,82.46,26.31,25312.00
Jagung,Aceh,1998,65660.00,1465.00,82.60,26.84,29000.00
Jagung,Aceh,1999,74449.00,1778.00,82.79,26.14,30545.00
Jagung,Aceh,2000,36642.00,1974.70,90.60,27.10,15576.00
Jagung,Aceh,2001,51232.00,1688.70,69.48,28.90,20605.00
Jagung,Aceh,2002,60105.00,1296.80,68.75,29.20,23874.00
Jagung,Aceh,2003,67386.00,1507.20,70.66,29.40,25188.00
Jagung,Aceh,2004,77747.00,1097.00,80.84,29.40,25748.00
Jagung,Aceh,2005,94426.00,710.50,79.50,26.80,29517.00
Jagung,Aceh,2006,96838.00,506.50,80.80,26.73,29583.00
Jagung,Aceh,2007,125155.00,1414.00,81.50,26.38,36774.00
Jagung,Aceh,2008,112894.00,1270.40,78.50,27.00,34164.00
Jagung,Aceh,2009,137753.00,1577.00,78.70,26.90,39731.00
Jagung,Aceh,2010,167090.00,1986.00,81.40,27.10,43885.00
Jagung,Aceh,2011,168861.00,1268.00,79.40,27.10,41853.00
Jagung,Aceh,2012,167285.00,1098.00,79.60,26.90,43675.00
Jagung,Aceh,2013,177842.00,1623.60,80.70,27.00,44099.00
Jagung,Aceh,2014,202318.00,2264.40,78.30,27.10,47357.00
Jagung,Aceh,2015,205125.00,1575.00,80.00,27.10,47967.00
Jagung,Aceh,2016,316645.00,1096.00,83.32,27.12,35810.00
Jagung,Aceh,2017,387470.00,1905.90,85.57,26.51,45772.00
Ubi Kayu,Aceh,1993,73122.00,1627.00,82.00,26.06,5904.00
Ubi Kayu,Aceh,1994,70288.00,1521.00,82.12,26.92,5654.00
Ubi Kayu,Aceh,1995,69571.00,1476.00,82.72,26.27,5690.00
Ubi Kayu,Aceh,1996,59782.00,1557.00,83.00,26.08,4795.00
Ubi Kayu,Aceh,1997,81427.00,1339.00,82.46,26.31,6532.00
Ubi Kayu,Aceh,1998,66543.00,1465.00,82.60,26.84,5477.00
Ubi Kayu,Aceh,1999,67670.00,1778.00,82.79,26.14,5503.00
Ubi Kayu,Aceh,2000,65208.00,1974.70,90.60,27.10,5293.00
Ubi Kayu,Aceh,2001,44387.00,1688.70,69.48,28.90,3605.00
Ubi Kayu,Aceh,2002,52126.00,1296.80,68.75,29.20,4269.00
Ubi Kayu,Aceh,2003,75286.00,1507.20,70.66,29.40,6098.00
Ubi Kayu,Aceh,2004,63867.00,1097.00,80.84,29.40,5180.00
Ubi Kayu,Aceh,2005,53424.00,710.50,79.50,26.80,4316.00
Ubi Kayu,Aceh,2006,46504.00,506.50,80.80,26.73,3754.00
Ubi Kayu,Aceh,2007,41558.00,1414.00,81.50,26.38,3351.00
Ubi Kayu,Aceh,2008,38403.00,1270.40,78.50,27.00,3093.00
Ubi Kayu,Aceh,2009,49839.00,1577.00,78.70,26.90,3910.00
Ubi Kayu,Aceh,2010,43810.00,1986.00,81.40,27.10,3084.00
Ubi Kayu,Aceh,2011,39384.00,1268.00,79.40,27.10,3085.00
Ubi Kayu,Aceh,2012,38257.00,1098.00,79.60,26.90,2974.00
Ubi Kayu,Aceh,2013,34738.00,1623.60,80.70,27.00,2725.00
Ubi Kayu,Aceh,2014,31621.00,2264.40,78.30,27.10,2432.00
Ubi Kayu,Aceh,2015,29131.00,1575.00,80.00,27.10,2226.00
Ubi Kayu,Aceh,2016,24531.00,1096.00,83.32,27.12,1898.00
Ubi Kayu,Aceh,2017,23738.00,1905.90,85.57,26.51,1452.00
Ubi Jalar,Aceh,1993,27808.00,1627.00,82.00,26.06,3040.00
Ubi Jalar,Aceh,1994,32918.00,1521.00,82.12,26.92,3215.00
Ubi Jalar,Aceh,1995,32195.00,1476.00,82.72,26.27,3633.00
Ubi Jalar,Aceh,1996,26784.00,1557.00,83.00,26.08,2834.00
Ubi Jalar,Aceh,1997,31345.00,1339.00,82.46,26.31,5288.00
Ubi Jalar,Aceh,1998,26401.00,1465.00,82.60,26.84,2750.00
Ubi Jalar,Aceh,1999,33697.00,1778.00,82.79,26.14,3459.00
Ubi Jalar,Aceh,2000,24594.00,1974.70,90.60,27.10,2545.00
Ubi Jalar,Aceh,2001,16695.00,1688.70,69.48,28.90,1725.00
Ubi Jalar,Aceh,2002,17285.00,1296.80,68.75,29.20,1776.00
Ubi Jalar,Aceh,2003,23568.00,1507.20,70.66,29.40,2394.00
Ubi Jalar,Aceh,2004,22938.00,1097.00,80.84,29.40,2338.00
Ubi Jalar,Aceh,2005,22985.00,710.50,79.50,26.80,2330.00
Ubi Jalar,Aceh,2006,16238.00,506.50,80.80,26.73,1661.00
Ubi Jalar,Aceh,2007,15187.00,1414.00,81.50,26.38,1542.00
Ubi Jalar,Aceh,2008,13172.00,1270.40,78.50,27.00,1325.00
Ubi Jalar,Aceh,2009,15298.00,1577.00,78.70,26.90,1519.00
Ubi Jalar,Aceh,2010,11095.00,1986.00,81.40,27.10,1101.00
Ubi Jalar,Aceh,2011,11844.00,1268.00,79.40,27.10,1137.00
Ubi Jalar,Aceh,2012,13356.00,1098.00,79.60,26.90,1264.00
Ubi Jalar,Aceh,2013,11602.00,1623.60,80.70,27.00,1094.00
Ubi Jalar,Aceh,2014,9696.00,2264.40,78.30,27.10,903.00
Ubi Jalar,Aceh,2015,8935.00,1575.00,80.00,27.10,793.00
Ubi Jalar,Aceh,2016,5839.00,1096.00,83.32,27.12,527.00
Ubi Jalar,Aceh,2017,6860.00,1905.90,85.57,26.51,613.00
Kacang Tanah,Aceh,1993,19056.00,1627.00,82.00,26.06,16756.00
Kacang Tanah,Aceh,1994,23380.00,1521.00,82.12,26.92,18939.00
Kacang Tanah,Aceh,1995,32517.00,1476.00,82.72,26.27,30601.00
Kacang Tanah,Aceh,1996,22639.00,1557.00,83.00,26.08,19704.00
Kacang Tanah,Aceh,1997,20288.00,1339.00,82.46,26.31,16936.00
Kacang Tanah,Aceh,1998,9513.00,1465.00,82.60,26.84,8091.00
Kacang Tanah,Aceh,1999,11124.00,1778.00,82.79,26.14,9131.00
Kacang Tanah,Aceh,2000,9179.00,1974.70,90.60,27.10,7453.00
Kacang Tanah,Aceh,2001,5047.00,1688.70,69.48,28.90,4355.00
Kacang Tanah,Aceh,2002,7377.00,1296.80,68.75,29.20,6190.00
